Max Depth,Train Accuracy,Test Accuracy,Accuracy Gap,Tree Size,Best Model
1,0.914,0.917,0.002,3,False
2,0.914,0.917,0.002,7,False
3,0.914,0.917,0.002,15,False
4,0.914,0.917,0.002,31,False
5,0.914,0.917,0.002,63,True
6,0.914,0.917,0.002,123,False
7,0.914,0.917,0.002,241,False
8,0.915,0.916,0.002,451,False
9,0.915,0.916,0.001,813,False
10,0.915,0.915,0.0,1391,False
11,0.917,0.914,0.003,2275,False
12,0.918,0.912,0.005,3563,False
13,0.92,0.91,0.01,5295,False
14,0.923,0.907,0.016,7505,False
15,0.927,0.904,0.023,10137,False
16,0.931,0.901,0.03,13161,False
17,0.936,0.896,0.04,16489,False
18,0.941,0.892,0.05,20109,False
19,0.947,0.887,0.06,23883,False
20,0.952,0.883,0.069,27557,False
